Field,Type,Description,Notes
,,,
TABLE: SAFEHOUSES,,,
Purpose: Physical locations where girls are housed and served,,,
Field,Type,Description,
safehouse_id,integer,Primary key,
safehouse_code,string,Human-readable short code (e.g. SH-01),
name,string,Display name,
region,string,"One of: Luzon, Visayas, Mindanao",
city,string,City of the safehouse,
province,string,Province of the safehouse,
country,string,Always Philippines,
open_date,date,Date the safehouse opened,
status,string,Active or Inactive,
capacity_girls,integer,Maximum number of girls the facility can house,
capacity_staff,integer,Target on-site staff headcount,
current_occupancy,integer,Current number of girls housed,
notes,string,Free-text notes,
,,,
,,,
TABLE: PARTNERS,,,
Purpose: Organizations and individuals contracted to deliver services,,,
Field,Type,Description,
partner_id,integer,Primary key,
partner_name,string,Full name or organization name,
partner_type,string,Organization or Individual,
role_type,string,"One of: Education, Evaluation, SafehouseOps, FindSafehouse, Logistics, Transport, Maintenance",
contact_name,string,Primary contact person,
email,string,Contact email address,
phone,string,Contact phone number,
region,string,Primary region served,
status,string,Active or Inactive,
start_date,date,Contract start date,
end_date,date,Contract end date; null if still active,
notes,string,Free-text notes,
,,,
,,,
TABLE: PARTNER_ASSIGNMENTS,,,
Purpose: Assignments of partners to safehouses and program areas,,,
Field,Type,Description,
assignment_id,integer,Primary key,
partner_id,integer,FK -> partners.partner_id,
safehouse_id,integer,FK -> safehouses.safehouse_id (nullable),
program_area,string,"One of: Education, Wellbeing, Operations, Transport, Maintenance",
assignment_start,date,Assignment start date,
assignment_end,date,Assignment end date; null if active,
responsibility_notes,string,Description of the assignment,
is_primary,boolean,Whether this is the partner's primary assignment,
status,string,Active or Ended,
,,,
,,,
TABLE: SUPPORTERS,,,
"Purpose: Donors, volunteers, skilled contributors, and partner organizations that provide support",,,
Field,Type,Description,
supporter_id,integer,Primary key,
supporter_type,string,"One of: MonetaryDonor, InKindDonor, Volunteer, SkillsContributor, SocialMediaAdvocate, PartnerOrganization",
display_name,string,Name shown in communications,
organization_name,string,Organization name (null for individuals),
first_name,string,First name (null for organizations),
last_name,string,Last name (null for organizations),
relationship_type,string,"One of: Local, International, PartnerOrganization",
region,string,Region of record,
country,string,Country of the supporter,
email,string,Contact email address,
phone,string,Contact phone number,
status,string,Active or Inactive,
first_donation_date,date,Date of the supporter's first donation (nullable),
acquisition_channel,string,"One of: Website, SocialMedia, Event, WordOfMouth, PartnerReferral, Church",
created_at,datetime,When the supporter record was created,
,,,
,,,
TABLE: DONATIONS,,,
Purpose: Donation events across all donation types,,,
Field,Type,Description,
donation_id,integer,Primary key,
supporter_id,integer,FK -> supporters.supporter_id,
donation_type,string,"One of: Monetary, InKind, Time, Skills, SocialMedia",
donation_date,date,Date of the donation,
channel_source,string,"One of: Campaign, Event, Direct, SocialMedia, PartnerReferral",
currency_code,string,PHP for monetary; null otherwise,
amount,decimal,Monetary amount; null for non-monetary,
estimated_value,decimal,Value in the unit given by impact_unit,
impact_unit,string,"One of: pesos, items, hours, campaigns",
is_recurring,boolean,Whether this donation is part of a recurring commitment,
campaign_name,string,Name of the fundraising campaign if applicable (nullable),
notes,string,Free-text notes,
created_by_partner_id,integer,FK -> partners.partner_id (nullable),
referral_post_id,integer,FK -> social_media_posts.post_id (nullable),
,,,
,,,
TABLE: IN_KIND_DONATION_ITEMS,,,
Purpose: Line-item details for in-kind donations,,,
Field,Type,Description,
item_id,integer,Primary key,
donation_id,integer,FK -> donations.donation_id,
item_name,string,Item description,
item_category,string,"One of: Food, Supplies, Clothing, SchoolMaterials, Hygiene, Furniture, Medical",
quantity,integer,Quantity donated,
unit_of_measure,string,"One of: pcs, boxes, kg, sets, packs",
estimated_unit_value,decimal,Estimated value per unit in PHP,
intended_use,string,"One of: Meals, Education, Shelter, Hygiene, Health",
