post_id,platform,platform_post_id,post_url,created_at,day_of_week,post_hour,post_type,media_type,caption,hashtags,num_hashtags,mentions_count,has_call_to_action,call_to_action_type,content_topic,sentiment_tone,caption_length,features_resident_story,campaign_name,is_boosted,boost_budget_php,impressions,reach,likes,comments,shares,saves,click_throughs,video_views,engagement_rate,profile_visits,donation_referrals,estimated_donation_value_php,follower_count_at_post,watch_time_seconds,avg_view_duration_seconds,subscriber_count_at_post,forwards,is_peak_hour,is_peak_day,has_video_content,is_impact_or_fundraising,engagement_per_follower,has_donation,log_donation_value
75,Instagram,ig_6983943970347549,https://instagram.com/p/HIE_ahXGjuB,2024-03-06 14:33:00,Wednesday,14,EducationalContent,Video,Our girls are learning. Today's lesson: SELF-WORTH. Because every girl deserves to know her value. #HopeForGirls,#HopeForGirls,1,0,1,SignUp,Education,Celebratory,112,0,,0,,1297,931,159,28,24,11,44,1309.0,0.141,33,0,0.0,1782,,,,,0,0,1,0,7.912457912457911e-05,0,0.0
107,TikTok,tk_1713699830562480,https://tiktok.com/@lighthouse_ph/video/7226091111710211622,2026-01-08 09:50:00,Thursday,9,EducationalContent,Reel,"Our girls are artists, mathematicians, dreamers, leaders. Here's what they're learning this month: #SurvivorStrong, #MakeADifference, #ForYou","#SurvivorStrong, #MakeADifference, #ForYou",3,1,1,LearnMore,Gratitude,Informative,141,0,,0,,7460,4325,179,48,28,16,164,4766.0,0.0503,61,0,0.0,916,,,,,1,0,1,0,5.4912663755458514e-05,0,0.0
33,WhatsApp,wa_9957685616144505,https://whatsapp.com/channel/lighthouse_ph/9957685616144505,2024-10-29 07:45:00,Tuesday,7,Campaign,Video,"Back to School CAMPAIGN ALERT: We're raising P58,000 to provide safety and education. Will you help? https://lighthouse.ph/donate?utm_source=whatsapp",,0,0,1,ShareStory,AwarenessRaising,Emotional,149,0,,0,,350,250,10,4,3,1,11,448.0,0.0704,5,1,5982.28,1517,,,,8.0,0,1,1,0,4.640738299274885e-05,1,8.696724191559563
756,Instagram,ig_5640558173165025,https://instagram.com/p/7tAGMin72VW,2024-06-26 21:50:00,Wednesday,21,ImpactStory,Photo,"From victim to survivor to LEADER. That's Maria's journey. This is why we do what we do. #HopeForGirls, #BeTheChange, #ChildRights, #ChildAbuse","#HopeForGirls, #BeTheChange, #ChildRights, #ChildAbuse",4,2,0,,Health,Informative,143,0,,0,,3704,2292,153,35,27,14,32,,0.0704,54,5,18971.09,1833,,,,,0,0,1,0,3.840698308783415e-05,1,9.850724230819237
753,Instagram,ig_6719851396794329,https://instagram.com/p/CngY1kKoJiQ,2025-10-18 16:14:00,Saturday,16,Campaign,Video,"This October, we're asking for help. P71,000 will cover meals, medicine, and hope for 21 girls. https://lighthouse.ph/donate?utm_source=instagram",#GiveHope,1,2,1,DonateNow,Education,Informative,145,0,,0,,524,350,7,3,2,1,12,317.0,0.0419,3,0,0.0,1833,,,,,0,0,1,0,2.2858701582105837e-05,0,0.0
653,YouTube,yt_2239211069331064,https://youtube.com/watch?v=aQVW7k67TGd,2025-11-25 01:03:00,Tuesday,1,ImpactStory,Video,"It's not magic. It's medicine, school, safety, and LOVE. Ana's transformation started the day she arrived at our door. #SpreadTheWord, #YearEndHope","#SpreadTheWord, #YearEndHope",2,1,1,SignUp,Health,Emotional,147,1,GivingTuesday,0,,3387,2407,78,10,28,7,91,2747.0,0.0422,15,5,7485.19,620,326893.0,119.0,798.0,,0,1,1,0,6.806451612903226e-05,1,8.92081526885295
725,Facebook,fb_6406498593063824,https://facebook.com/lighthouse.ph/posts/6406498593063824,2025-11-12 21:46:00,Wednesday,21,Campaign,Text,Join our GivingTuesday campaign! Every peso brings a girl closer to safety and dignity. https://lighthouse.ph/donate?utm_source=facebook,#YearEndHope,1,0,1,DonateNow,DonorImpact,Informative,136,0,GivingTuesday,0,,2515,1451,88,39,14,11,66,,0.0809,29,2,4291.87,2489,,,,,0,0,0,0,3.250301325833668e-05,1,8.364710785911875
12,Twitter,tw_4673092519335656,https://twitter.com/lighthouse_ph/status/3356308752714753340,2024-08-15 18:26:00,Thursday,18,FundraisingAppeal,Video,"The P227,000 we need each month covers so much: safety, healing, education, hope. We're 24% short. Help us? https://lighthouse.ph/donate?utm_source=twitter",,0,0,1,DonateNow,Education,Grateful,155,0,,0,,4452,3017,208,58,57,29,104,2830.0,0.1202,90,8,4476.96,716,,,,,1,0,1,1,0.00016787709497206705,1,8.406922864559627
711,LinkedIn,li_9007114650914008,https://linkedin.com/feed/update/urn:li:activity:2702679105432093277,2023-03-09 14:34:00,Thursday,14,EventPromotion,Video,FREE EVENT ALERT: Art Show - March 20 - bring your friends! https://lighthouse.ph/donate?utm_source=linkedin,,0,0,0,,AwarenessRaising,Urgent,108,0,,1,4094.32,6942,4677,222,91,68,32,51,4774.0,0.0744,65,0,0.0,496,,,,,0,0,1,0,0.00015,0,0.0
325,Facebook,fb_9016187252307841,https://facebook.com/lighthouse.ph/posts/9016187252307841,2026-01-15 21:34:00,Thursday,21,ImpactStory,Text,"I wish you could see Maria's smile today. You made that happen. #BreakTheCycle, #GiveHope, #HumanTrafficking, #ChildRights","#BreakTheCycle, #GiveHope, #HumanTrafficking, #ChildRights",4,0,0,,Education,Hopeful,122,1,,0,,6741,3810,247,78,103,20,60,,0.0783,118,18,25119.96,2479,,,,,0,0,1,0,3.158531665994352e-05,1,10.13145783641241
577,Instagram,ig_4867296004827336,https://instagram.com/p/G73hDc8Jnm-,2023-05-27 06:57:00,Saturday,6,ImpactStory,Photo,I wish you could see Lucia's smile today. You made that happen. #SummerofSafety,#SummerofSafety,1,1,0,,CampaignLaunch,Emotional,79,1,,0,,1926,1328,71,20,33,6,19,,0.0563,23,7,7385.49,1833,,,,,0,0,1,0,3.0714675395526464e-05,1,8.907407934939586
